"sy","sys_id_ga","sch_id_ga","level","sys_nm","sch_nm","enr_k12"
2024,764,100,"ES","Buford City","Buford Academy",1275
2024,764,196,"ES","Buford City","Buford Elementary School",408
2024,764,292,"ES","Buford City","Buford Senior Academy",878
2024,616,200,"ES","Bulloch County","Brooklet Elementary School",779
2024,616,2050,"ES","Bulloch County","Julia P. Bryant Elementary School",636
2024,616,199,"ES","Bulloch County","Langston Chapel Elementary School",582
2024,616,5050,"ES","Bulloch County","Mattie Lively Elementary School",526
2024,616,100,"ES","Bulloch County","Mill Creek Elementary School",538
2024,616,107,"ES","Bulloch County","Nevils Elementary School",409
2024,616,399,"ES","Bulloch County","Portal Elementary School",386
2024,616,5054,"ES","Bulloch County","Sallie Zetterower Elementary School",712
2024,616,3054,"ES","Bulloch County","Stilson Elementary School",409
2024,617,104,"ES","Burke County","Blakeney Elementary",704
2024,617,2056,"ES","Burke County","Waynesboro Primary School",731
2024,618,104,"ES","Butts County","Hampton L. Daughtry Elementary School",442
2024,618,111,"ES","Butts County","Jackson Elementary School",515
2024,618,108,"ES","Butts County","Stark Elementary School",585
2024,765,406,"ES","Calhoun City","Calhoun Early Learning Academy",293
2024,765,305,"ES","Calhoun City","Calhoun Primary School",912
2024,620,187,"ES","Camden County","Crooked River Elementary School",573
2024,620,195,"ES","Camden County","David L Rainer Elementary School",503
2024,620,193,"ES","Camden County","Kingsland Elementary School",345
2024,620,100,"ES","Camden County","Mamie Lou Gross Elementary School",437
2024,620,495,"ES","Camden County","Mary Lee Clark Elementary School",431
2024,620,189,"ES","Camden County","Matilda Harris Elementary School",650
2024,620,110,"ES","Camden County","Saint Marys Elementary School",550
2024,620,197,"ES","Camden County","Sugarmill Elementary",635
2024,620,192,"ES","Camden County","Woodbine Elementary School",336
2024,621,302,"ES","Candler County","Metter Elementary School",871
2024,622,2050,"ES","Carroll County","Bowdon Elementary School",625
2024,622,5050,"ES","Carroll County","Central Elementary School",891
2024,622,605,"ES","Carroll County","Glanton-Hindsman Elementary",608
2024,622,405,"ES","Carroll County","Ithica Elementary ",750
2024,622,176,"ES","Carroll County","Mount Zion Elementary School",631
2024,622,115,"ES","Carroll County","Providence Elementary School",491
2024,622,377,"ES","Carroll County","Roopville Elementary School",411
2024,622,5052,"ES","Carroll County","Sand Hill Elementary School",670
2024,622,100,"ES","Carroll County","Sharp Creek Elementary School",508
2024,622,1054,"ES","Carroll County","Temple Elementary School",613
2024,622,705,"ES","Carroll County","Villa Rica Elementary School",443
2024,622,477,"ES","Carroll County","Whitesburg Elementary School",478
2024,766,193,"ES","Carrollton City","Carrollton Elementary School",1674
2024,766,106,"ES","Carrollton City","Carrollton Upper Elementary",745
2024,767,191,"ES","Cartersville City","Cartersville Elementary School",643
